ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
GO:0006412	translation	315	80	Tb927.1.3180,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	25.4	11.2	24.02	1.9423661134e-65	1.00486980523e-62	1.15376547136e-62
GO:0043043	peptide biosynthetic process	317	80	Tb927.1.3180,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	25.2	11.13	23.81	3.38340001761e-65	1.00486980523e-62	2.00973961046e-62
GO:0006518	peptide metabolic process	332	80	Tb927.1.3180,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	24.1	10.62	22.35	1.90538356365e-63	3.77265945603e-61	1.13179783681e-60
GO:0043604	amide biosynthetic process	334	80	Tb927.1.3180,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	24.0	10.56	22.17	3.20723844673e-63	4.7627490934e-61	1.90509963736e-60
GO:0043603	cellular amide metabolic process	365	80	Tb927.1.3180,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	21.9	9.66	19.68	6.53492494247e-60	7.76349083165e-58	3.88174541582e-57
GO:1901566	organonitrogen compound biosynthetic process	630	87	Tb11.v5.0456,Tb927.1.3180,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16130,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3030,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.5940,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4470,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,Tb927.9.6210,Tb927.9.6290,	13.8	6.09	11.57	5.30634817947e-48	5.25328469768e-46	3.15197081861e-45
GO:0044271	cellular nitrogen compound biosynthetic process	649	87	Tb11.v5.0456,Tb927.1.3180,Tb927.1.70,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.15350,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16130,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3030,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.5940,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4470,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	13.4	5.91	11.16	6.58386831983e-47	5.58688254568e-45	3.91081778198e-44
GO:0034645	cellular macromolecule biosynthetic process	589	83	Tb927.1.3180,Tb927.1.70,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.15350,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.6890,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	14.1	6.21	11.49	3.54032377663e-46	2.62869040415e-44	2.10295232332e-43
GO:0009059	macromolecule biosynthetic process	592	83	Tb927.1.3180,Tb927.1.70,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.15350,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.6890,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,	14.0	6.18	11.41	5.34558322984e-46	3.5280849317e-44	3.17527643853e-43
GO:0010467	gene expression	905	91	Tb927.1.3180,Tb927.1.70,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.15350,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.12100,Tb927.11.13007,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.500,Tb927.11.510,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.3940,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4420,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.8.6650,Tb927.8.990,Tb927.9.10770,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.4080,Tb927.9.5690,Tb927.9.6070,	10.1	4.43	8.09	1.12272695089e-38	6.66899808829e-37	6.66899808829e-36
GO:1901576	organic substance biosynthetic process	962	90	Tb11.v5.0456,Tb927.1.3180,Tb927.1.70,Tb927.10.1080,Tb927.10.1090,Tb927.10.1100,Tb927.10.11390,Tb927.10.11540,Tb927.10.13500,Tb927.10.14580,Tb927.10.14710,Tb927.10.15120,Tb927.10.15350,Tb927.10.1590,Tb927.10.190,Tb927.10.220,Tb927.10.270,Tb927.10.2840,Tb927.10.3280,Tb927.10.3380,Tb927.10.4110,Tb927.10.4120,Tb927.10.5030,Tb927.10.5460,Tb927.10.560,Tb927.10.5610,Tb927.10.6370,Tb927.10.7340,Tb927.10.9800,Tb927.10.9880,Tb927.11.10160,Tb927.11.11230,Tb927.11.11360,Tb927.11.11725,Tb927.11.13007,Tb927.11.16130,Tb927.11.16280,Tb927.11.2050,Tb927.11.3000,Tb927.11.3030,Tb927.11.3230,Tb927.11.3590,Tb927.11.4290,Tb927.11.4300,Tb927.11.4820,Tb927.11.5940,Tb927.11.6140,Tb927.11.6180,Tb927.11.6500,Tb927.11.6510,Tb927.11.6890,Tb927.11.740,Tb927.11.8200,Tb927.11.9710,Tb927.11.9720,Tb927.11.9730,Tb927.2.5870,Tb927.2.5910,Tb927.3.1370,Tb927.3.3320,Tb927.3.4360,Tb927.3.5050,Tb927.4.1100,Tb927.4.1860,Tb927.4.2180,Tb927.5.1110,Tb927.5.1610,Tb927.5.1820,Tb927.6.4470,Tb927.6.4690,Tb927.6.4980,Tb927.6.5040,Tb927.6.5120,Tb927.6.720,Tb927.7.1040,Tb927.7.2340,Tb927.7.3680,Tb927.8.1110,Tb927.8.5260,Tb927.8.6030,Tb927.8.6036,Tb927.8.6038,Tb927.8.6180,Tb927.9.11380,Tb927.9.11410,Tb927.9.14370,Tb927.9.5690,Tb927.9.6070,Tb927.9.6210,Tb927.9.6290,	9.4	4.12	7.35	1.33377800985e-35	7.20240125319e-34	7.92264137851e-33
