ID	Name	Bgd count	Result count	Result gene list	Pct of bgd	Fold enrichment	Odds ratio	P-value	Benjamini	Bonferroni
PWY-7389__PK__MetaCyc	superpathway of anaerobic energy metabolism (invertebrates)	33	20	Tb927.1.3950,Tb927.10.11970,Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.10.7410,Tb927.11.2690,Tb927.11.5050,Tb927.11.5090,Tb927.11.5440,Tb927.11.5450,Tb927.2.4210,Tb927.3.2230,Tb927.3.4500,Tb927.5.2080,Tb927.8.6580,Tb927.8.7100,Tb927.9.11110,Tb927.9.12320,Tb927.9.5590,	60.6	2.5	5.03	7.29978576494e-06	0.012453434515	0.012453434515
PWY-5913__PK__MetaCyc	partial TCA cycle (obligate autotrophs)	23	15	Tb927.1.3950,Tb927.10.11970,Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.10.7410,Tb927.11.5050,Tb927.11.5090,Tb927.11.900,Tb927.3.2230,Tb927.3.4500,Tb927.5.2080,Tb927.8.6580,Tb927.9.11110,Tb927.9.5590,	65.2	2.69	6.07	3.16422416121e-05	0.0192994702152	0.0539816641902
ec00720__PK__KEGG	Carbon fixation pathways in prokaryotes	49	25	Tb927.10.14000,Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.10.7410,Tb927.10.7440,Tb927.11.10020,Tb927.11.16480,Tb927.11.5050,Tb927.11.6280,Tb927.11.900,Tb927.2.4130,Tb927.3.2230,Tb927.3.4500,Tb927.5.2080,Tb927.5.930,Tb927.5.940,Tb927.6.2010,Tb927.8.2520,Tb927.8.2540,Tb927.8.3380,Tb927.8.6580,Tb927.8.7100,Tb927.9.11110,Tb927.9.5590,	51.0	2.1	3.42	3.39381070607e-05	0.0192994702152	0.0578984106455
P23-PWY__PK__MetaCyc	reductive TCA cycle I	19	13	Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.10.7410,Tb927.11.5050,Tb927.11.6280,Tb927.11.900,Tb927.3.2230,Tb927.3.4500,Tb927.5.2080,Tb927.8.6580,Tb927.9.11110,Tb927.9.5590,	68.4	2.82	6.98	5.23089284456e-05	0.0223097579821	0.0892390319283
PWY-7384__PK__MetaCyc	anaerobic energy metabolism (invertebrates, mitochondrial)	13	10	Tb927.10.7410,Tb927.11.2690,Tb927.11.5050,Tb927.11.5440,Tb927.11.5450,Tb927.3.2230,Tb927.3.4500,Tb927.8.6580,Tb927.8.7100,Tb927.9.11110,	76.9	3.17	10.68	8.80000076536e-05	0.0300256026114	0.150128013057
PWY66-398__PK__MetaCyc	TCA cycle III (animals)	26	15	Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.10.7410,Tb927.11.11680,Tb927.11.5050,Tb927.11.9980,Tb927.3.2230,Tb927.3.4500,Tb927.4.5040,Tb927.5.2080,Tb927.8.3380,Tb927.8.6580,Tb927.9.11110,Tb927.9.5590,	57.7	2.38	4.4	0.000237682993713	0.0603123415568	0.405487187274
ec00020__PK__KEGG	Citrate cycle (TCA cycle)	46	22	Tb927.10.10390,Tb927.10.12260,Tb927.10.14000,Tb927.10.15410,Tb927.10.2350,Tb927.10.2550,Tb927.10.2560,Tb927.10.7410,Tb927.11.11680,Tb927.11.2690,Tb927.11.5050,Tb927.11.900,Tb927.11.9980,Tb927.2.4210,Tb927.3.2230,Tb927.3.4500,Tb927.4.5040,Tb927.5.2080,Tb927.8.3380,Tb927.8.6580,Tb927.9.11110,Tb927.9.5590,	47.8	1.97	2.98	0.000345960755979	0.0603123415568	0.590209049701
PWY-561__PK__MetaCyc	superpathway of glyoxylate cycle and fatty acid degradation	27	15	Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.11.16480,Tb927.11.5050,Tb927.2.4130,Tb927.2.4210,Tb927.2.5020,Tb927.3.4500,Tb927.5.2080,Tb927.6.2010,Tb927.8.2540,Tb927.8.3380,Tb927.8.6580,Tb927.9.5590,	55.6	2.29	4.03	0.000417968656295	0.0603123415568	0.713054527639
P42-PWY__PK__MetaCyc	incomplete reductive TCA cycle	17	11	Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.10.7410,Tb927.11.5050,Tb927.3.2230,Tb927.3.4500,Tb927.5.2080,Tb927.8.6580,Tb927.9.11110,Tb927.9.5590,	64.7	2.67	5.88	0.000433471834031	0.0603123415568	0.739502948857
PWY-7115__PK__MetaCyc	C4 photosynthetic carbon assimilation cycle, NAD-ME type	17	11	Tb927.1.3950,Tb927.10.11970,Tb927.10.15410,Tb927.10.2550,Tb927.10.2560,Tb927.11.5090,Tb927.11.5440,Tb927.11.5450,Tb927.11.6280,Tb927.5.2080,Tb927.9.5590,	64.7	2.67	5.88	0.000433471834031	0.0603123415568	0.739502948857
